DataType,InputSize,Comparisons,Swaps,Shifts,ArrayAccesses
Random,100,2547,0,2357,5096
Sorted,100,99,0,0,198
Reverse,100,5049,0,4950,10197
NearlySorted,100,632,0,445,1265
FewUnique,100,2183,0,2007,4369
Random,1000,249970,0,247987,499948
Sorted,1000,999,0,0,1998
Reverse,1000,500499,0,499500,1001997
NearlySorted,1000,36048,0,34078,72096
FewUnique,1000,227419,0,225527,454839
Random,10000,25149619,0,25129638,50299247
Sorted,10000,9999,0,0,19998
Reverse,10000,50004999,0,49995000,100019997
NearlySorted,10000,3117692,0,3097731,6235386
FewUnique,10000,24815721,0,24795832,49631447
Random,100000,2493547456,0,2493347479,4987094924
Sorted,100000,99999,0,0,199998
NearlySorted,100000,310857106,0,310657132,621714214
FewUnique,100000,2497224232,0,2497024352,4994448471
